dataset,outcome,scenario,old_k,new_k,old_estimate,new_estimate,reason
"outcomeSensitivities","ADAS-Cog scale above 24 months","Demonstrated clearance: >=6 CL","","2","","-0.1176549874200436","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADAS-Cog scale above 24 months","Demonstrated clearance: >=8 CL","","2","","-0.1176549874200436","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","MMSE scale at 18 months","Demonstrated clearance: >=12 CL","","4","","0.09558999252506314","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","MMSE scale at 18 months","Demonstrated clearance: >=2 CL","","5","","0.09691208510460668","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","MMSE scale at 18 months","Demonstrated clearance: >=4 CL","","4","","0.09558999252506314","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","MMSE scale at 18 months","Demonstrated clearance: >=6 CL","","4","","0.09558999252506314","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","MMSE scale at 18 months","Demonstrated clearance: >=8 CL","","4","","0.09558999252506314","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale at 18 months","Demonstrated clearance: >=12 CL","","5","","-0.1408487094294537","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale at 18 months","Demonstrated clearance: >=2 CL","","6","","-0.1557841583817437","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale at 18 months","Demonstrated clearance: >=4 CL","","5","","-0.1408487094294537","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale at 18 months","Demonstrated clearance: >=6 CL","","5","","-0.1408487094294537","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale at 18 months","Demonstrated clearance: >=8 CL","","5","","-0.1408487094294537","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale above 24 months","Demonstrated clearance: >=12 CL","","2","","-0.07010296517035747","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale above 24 months","Demonstrated clearance: >=2 CL","","2","","-0.07010296517035747","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale above 24 months","Demonstrated clearance: >=4 CL","","2","","-0.07010296517035747","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale above 24 months","Demonstrated clearance: >=6 CL","","2","","-0.07010296517035747","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","CDR-SB scale above 24 months","Demonstrated clearance: >=8 CL","","2","","-0.07010296517035747","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","DAD total score at 18 months","Demonstrated clearance: >=2 CL","","1","","0.03930575318456895","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","DAD total score at 18 months","Demonstrated clearance: >=4 CL","","1","","0.03930575318456895","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","DAD total score at 18 months","Demonstrated clearance: >=6 CL","","1","","0.03930575318456895","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","DAD total score at 18 months","Demonstrated clearance: >=8 CL","","1","","0.03930575318456895","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL score at 18 months","Demonstrated clearance: >=2 CL","","1","","0.3280886894908053","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL score above 24 months","Demonstrated clearance: >=12 CL","","2","","0.06945122787161243","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL score above 24 months","Demonstrated clearance: >=2 CL","","2","","0.06945122787161243","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL score above 24 months","Demonstrated clearance: >=4 CL","","2","","0.06945122787161243","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL score above 24 months","Demonstrated clearance: >=6 CL","","2","","0.06945122787161243","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL score above 24 months","Demonstrated clearance: >=8 CL","","2","","0.06945122787161243","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI score at 18 months","Demonstrated clearance: >=12 CL","","3","","0.2243525052917481","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI score at 18 months","Demonstrated clearance: >=2 CL","","3","","0.2243525052917481","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI score at 18 months","Demonstrated clearance: >=4 CL","","3","","0.2243525052917481","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI score at 18 months","Demonstrated clearance: >=6 CL","","3","","0.2243525052917481","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI score at 18 months","Demonstrated clearance: >=8 CL","","3","","0.2243525052917481","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-iADL score at 18 months","Demonstrated clearance: >=12 CL","","1","","0.2086615152924401","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-iADL score at 18 months","Demonstrated clearance: >=2 CL","","1","","0.2086615152924401","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-iADL score at 18 months","Demonstrated clearance: >=4 CL","","1","","0.2086615152924401","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-iADL score at 18 months","Demonstrated clearance: >=6 CL","","1","","0.2086615152924401","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-iADL score at 18 months","Demonstrated clearance: >=8 CL","","1","","0.2086615152924401","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI 18 months mean difference","Demonstrated clearance: >=12 CL","","3","","1.878575390824981","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI 18 months mean difference","Demonstrated clearance: >=2 CL","","3","","1.878575390824981","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI 18 months mean difference","Demonstrated clearance: >=4 CL","","3","","1.878575390824981","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI 18 months mean difference","Demonstrated clearance: >=6 CL","","3","","1.878575390824981","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","ADCS-ADL-MCI 18 months mean difference","Demonstrated clearance: >=8 CL","","3","","1.878575390824981","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA at 18 months","Demonstrated clearance: >=12 CL","","2","","2.396697026053299","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA at 18 months","Demonstrated clearance: >=2 CL","","2","","2.396697026053299","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA at 18 months","Demonstrated clearance: >=4 CL","","2","","2.396697026053299","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA at 18 months","Demonstrated clearance: >=6 CL","","2","","2.396697026053299","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA at 18 months","Demonstrated clearance: >=8 CL","","2","","2.396697026053299","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA H at 18 months","Demonstrated clearance: >=12 CL","","1","","2.996659242761693","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA H at 18 months","Demonstrated clearance: >=2 CL","","1","","2.996659242761693","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA H at 18 months","Demonstrated clearance: >=4 CL","","1","","2.996659242761693","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA H at 18 months","Demonstrated clearance: >=6 CL","","1","","2.996659242761693","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA H at 18 months","Demonstrated clearance: >=8 CL","","1","","2.996659242761693","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 18 months","Demonstrated clearance: >=12 CL","","4","","11.126627376704237","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 18 months","Demonstrated clearance: >=2 CL","","6","","10.617243153303262","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 18 months","Demonstrated clearance: >=4 CL","","5","","10.693334114967461","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 18 months","Demonstrated clearance: >=6 CL","","5","","10.693334114967461","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 18 months","Demonstrated clearance: >=8 CL","","5","","10.693334114967461","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 24 months","Demonstrated clearance: >=12 CL","","1","","17.903846153846153","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 24 months","Demonstrated clearance: >=2 CL","","1","","17.903846153846153","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 24 months","Demonstrated clearance: >=4 CL","","1","","17.903846153846153","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 24 months","Demonstrated clearance: >=6 CL","","1","","17.903846153846153","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E at 24 months","Demonstrated clearance: >=8 CL","","1","","17.903846153846153","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E above 24 months","Demonstrated clearance: >=12 CL","","2","","9.349943398952874","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E above 24 months","Demonstrated clearance: >=2 CL","","2","","9.349943398952874","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E above 24 months","Demonstrated clearance: >=4 CL","","2","","9.349943398952874","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E above 24 months","Demonstrated clearance: >=6 CL","","2","","9.349943398952874","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA E above 24 months","Demonstrated clearance: >=8 CL","","2","","9.349943398952874","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E at 18 months","Demonstrated clearance: >=12 CL","","2","","52.4903527709673","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E at 18 months","Demonstrated clearance: >=2 CL","","2","","52.4903527709673","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E at 18 months","Demonstrated clearance: >=4 CL","","2","","52.4903527709673","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E at 18 months","Demonstrated clearance: >=6 CL","","2","","52.4903527709673","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E at 18 months","Demonstrated clearance: >=8 CL","","2","","52.4903527709673","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E above 24 months","Demonstrated clearance: >=12 CL","","2","","15.546661816944196","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E above 24 months","Demonstrated clearance: >=2 CL","","2","","15.546661816944196","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E above 24 months","Demonstrated clearance: >=4 CL","","2","","15.546661816944196","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E above 24 months","Demonstrated clearance: >=6 CL","","2","","15.546661816944196","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Symptomatic ARIA E above 24 months","Demonstrated clearance: >=8 CL","","2","","15.546661816944196","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 18 months","Demonstrated clearance: >=12 CL","","2","","2.138161182743667","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 18 months","Demonstrated clearance: >=2 CL","","3","","1.647567809136657","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 18 months","Demonstrated clearance: >=4 CL","","2","","2.138161182743667","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 18 months","Demonstrated clearance: >=6 CL","","2","","2.138161182743667","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 18 months","Demonstrated clearance: >=8 CL","","2","","2.138161182743667","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 24 months","Demonstrated clearance: >=12 CL","","1","","1.227692307692308","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 24 months","Demonstrated clearance: >=2 CL","","1","","1.227692307692308","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 24 months","Demonstrated clearance: >=4 CL","","1","","1.227692307692308","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 24 months","Demonstrated clearance: >=6 CL","","1","","1.227692307692308","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H at 24 months","Demonstrated clearance: >=8 CL","","1","","1.227692307692308","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H above 24 months","Demonstrated clearance: >=12 CL","","2","","1.86453837103413","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H above 24 months","Demonstrated clearance: >=2 CL","","2","","1.86453837103413","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H above 24 months","Demonstrated clearance: >=4 CL","","2","","1.86453837103413","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H above 24 months","Demonstrated clearance: >=6 CL","","2","","1.86453837103413","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Any ARIA H above 24 months","Demonstrated clearance: >=8 CL","","2","","1.86453837103413","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 18 months","Demonstrated clearance: >=12 CL","","4","","1.081077600545671","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 18 months","Demonstrated clearance: >=2 CL","","5","","1.047659624380128","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 18 months","Demonstrated clearance: >=4 CL","","4","","1.081077600545671","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 18 months","Demonstrated clearance: >=6 CL","","4","","1.081077600545671","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 18 months","Demonstrated clearance: >=8 CL","","4","","1.081077600545671","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 24 months","Demonstrated clearance: >=12 CL","","1","","0.8556643356643356","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 24 months","Demonstrated clearance: >=2 CL","","1","","0.8556643356643356","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 24 months","Demonstrated clearance: >=4 CL","","1","","0.8556643356643356","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 24 months","Demonstrated clearance: >=6 CL","","1","","0.8556643356643356","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE at 24 months","Demonstrated clearance: >=8 CL","","1","","0.8556643356643356","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE above 24 months","Demonstrated clearance: >=12 CL","","2","","0.8237606397871372","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE above 24 months","Demonstrated clearance: >=2 CL","","2","","0.8237606397871372","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE above 24 months","Demonstrated clearance: >=4 CL","","2","","0.8237606397871372","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE above 24 months","Demonstrated clearance: >=6 CL","","2","","0.8237606397871372","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","SAE above 24 months","Demonstrated clearance: >=8 CL","","2","","0.8237606397871372","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 18 months","Demonstrated clearance: >=12 CL","","2","","1.312245888036337","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 18 months","Demonstrated clearance: >=2 CL","","3","","0.9197328151467","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 18 months","Demonstrated clearance: >=4 CL","","2","","1.312245888036337","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 18 months","Demonstrated clearance: >=6 CL","","2","","1.312245888036337","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 18 months","Demonstrated clearance: >=8 CL","","2","","1.312245888036337","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 24 months","Demonstrated clearance: >=12 CL","","1","","0.341025641025641","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 24 months","Demonstrated clearance: >=2 CL","","1","","0.341025641025641","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 24 months","Demonstrated clearance: >=4 CL","","1","","0.341025641025641","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 24 months","Demonstrated clearance: >=6 CL","","1","","0.341025641025641","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality at 24 months","Demonstrated clearance: >=8 CL","","1","","0.341025641025641","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality above 24 months","Demonstrated clearance: >=12 CL","","2","","0.6972000337432346","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality above 24 months","Demonstrated clearance: >=2 CL","","2","","0.6972000337432346","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality above 24 months","Demonstrated clearance: >=4 CL","","2","","0.6972000337432346","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality above 24 months","Demonstrated clearance: >=6 CL","","2","","0.6972000337432346","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Mortality above 24 months","Demonstrated clearance: >=8 CL","","2","","0.6972000337432346","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","NPI-Q score at 12 months","Demonstrated clearance: >=2 CL","","1","","0.08604846600191733","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Infusion reaction at 18 months","Demonstrated clearance: >=12 CL","","2","","7.662918735750604","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Infusion reaction at 18 months","Demonstrated clearance: >=2 CL","","3","","3.580414000675478","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Infusion reaction at 18 months","Demonstrated clearance: >=4 CL","","2","","7.662918735750604","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Infusion reaction at 18 months","Demonstrated clearance: >=6 CL","","2","","7.662918735750604","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Infusion reaction at 18 months","Demonstrated clearance: >=8 CL","","2","","7.662918735750604","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 18 months","Demonstrated clearance: >=12 CL","","4","","1.283807373552714","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 18 months","Demonstrated clearance: >=2 CL","","6","","1.228243528764232","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 18 months","Demonstrated clearance: >=4 CL","","5","","1.225027519666464","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 18 months","Demonstrated clearance: >=6 CL","","5","","1.225027519666464","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 18 months","Demonstrated clearance: >=8 CL","","5","","1.225027519666464","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 24 months","Demonstrated clearance: >=12 CL","","1","","1.05361653272101","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 24 months","Demonstrated clearance: >=2 CL","","1","","1.05361653272101","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 24 months","Demonstrated clearance: >=4 CL","","1","","1.05361653272101","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 24 months","Demonstrated clearance: >=6 CL","","1","","1.05361653272101","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation at 24 months","Demonstrated clearance: >=8 CL","","1","","1.05361653272101","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation above 24 months","Demonstrated clearance: >=12 CL","","2","","1.355002688994968","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation above 24 months","Demonstrated clearance: >=2 CL","","2","","1.355002688994968","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation above 24 months","Demonstrated clearance: >=4 CL","","2","","1.355002688994968","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation above 24 months","Demonstrated clearance: >=6 CL","","2","","1.355002688994968","Added investigator-defined Centiloid threshold sensitivity"
"outcomeSensitivities","Study discontinuation above 24 months","Demonstrated clearance: >=8 CL","","2","","1.355002688994968","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale at 18 months","Demonstrated clearance: >=12 CL","","5","","-1.248203399096627","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale at 18 months","Demonstrated clearance: >=2 CL","","7","","-1.000145266070013","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale at 18 months","Demonstrated clearance: >=4 CL","","6","","-0.9651560250165855","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale at 18 months","Demonstrated clearance: >=6 CL","","6","","-0.9651560250165855","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale at 18 months","Demonstrated clearance: >=8 CL","","6","","-0.9651560250165855","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale above 24 months","Demonstrated clearance: >=12 CL","","2","","-1.267015483438359","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale above 24 months","Demonstrated clearance: >=2 CL","","2","","-1.267015483438359","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale above 24 months","Demonstrated clearance: >=4 CL","","2","","-1.267015483438359","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale above 24 months","Demonstrated clearance: >=6 CL","","2","","-1.267015483438359","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADAS-Cog scale above 24 months","Demonstrated clearance: >=8 CL","","2","","-1.267015483438359","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","MMSE scale at 18 months","Demonstrated clearance: >=12 CL","","4","","0.3571813275838583","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","MMSE scale at 18 months","Demonstrated clearance: >=2 CL","","5","","0.3612132335681905","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","MMSE scale at 18 months","Demonstrated clearance: >=4 CL","","4","","0.3571813275838583","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","MMSE scale at 18 months","Demonstrated clearance: >=6 CL","","4","","0.3571813275838583","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","MMSE scale at 18 months","Demonstrated clearance: >=8 CL","","4","","0.3571813275838583","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale at 18 months","Demonstrated clearance: >=12 CL","","5","","-0.3138970943515159","Added investigator-defined Centiloid threshold sensitivity"
