study,analysis_id,outcome,experimental_n,control_n,experimental_mean,control_mean,experimental_sd,control_sd,effect,ci_low,ci_high,variance,raw_md,raw_variance,amyloid_change_cl,pairing_status,instrument_status,source_locator
CLARITY AD 2023,2.1,CDR-SB scale at 18 months,859,875,1.21,1.66,2.34,2.34,-0.19222440616983708,-0.2865815667072063,-0.09786724563246783,0.00231768038139898,-0.44999999999999996,0.012632217395642771,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 2.1
SCarlet RoAD 2017,2.1,CDR-SB scale at 18 months,167,175,1.73,1.6,2.56,2.56,0.05066915011037523,-0.1613886898232896,0.2627269900440401,0.0117061068662468,0.1299999999999999,0.07669225662959794,-12.64,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 2.1
Marguerite RoAD 2024,2.2,CDR-SB scale at 24 months,17,29,NA,NA,NA,NA,-0.125093,-0.7243813877328897,0.4741953877328897,0.09349223522500008,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 2.2
CREAD 2022,2.2,CDR-SB scale at 24 months,86,88,NA,NA,NA,NA,0.07009,-0.22719145728308185,0.3673714572830818,0.02300591232900001,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 2.2
GRADUATE I 2023,2.3,CDR-SB scale above 24 months,499,485,3.35,3.65,3.127363,3.523634,-0.0900598093928467,-0.21509877720365,0.03497915841795661,0.00407000158038034,-0.2999999999999998,0.04519999158436464,-66.44,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 2.3
GRADUATE II 2023,2.3,CDR-SB scale above 24 months,498,477,2.85,3.01,3.124228,3.276049,-0.04997081285137941,-0.175557773481756,0.07561614777899717,0.00410575393790785,-0.1599999999999997,0.04209999501310932,-56.46,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 2.3
CREAD 2022,2.4,CDR-SB 24 months mean difference,NA,NA,NA,NA,NA,NA,0.17,-0.6531848735068227,0.9931848735068228,0.17640000000000014,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 2.4
Marguerite RoAD 2024,2.4,CDR-SB 24 months mean difference,NA,NA,NA,NA,NA,NA,-0.25,-1.4259783907240324,0.9259783907240324,0.3600000000000001,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 2.4
3000 Non Carriers 2016,3.1,DAD total score at 18 months,213,155,-19.1,-18.8,18.097204,18.301352,-0.01646474960027812,-0.22339481859563692,0.19046531939508063,0.01114682089620491,-0.3000000000000007,3.6984998687467527,6.52,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3000 Non Carriers 2016 | 3.1
3001 Carriers 2016,3.1,DAD total score at 18 months,198,146,-10.1,-10.7,15.056235,15.466299,0.03930575318456895,-0.17451986528750046,0.2531313716566384,0.01190209169200503,0.5999999999999996,2.7833000950860747,-9.6,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3001 Carriers 2016 | 3.1
Bapineuzumab-301 2014,3.1,DAD total score at 18 months,201,334,-8.4,-12.5,19.56,19.37,0.21059205769464584,0.03516825669746185,0.38601585869182986,0.00801089153696539,4.1,3.026794758244704,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 3.1
Bapineuzumab-302 2014,3.1,DAD total score at 18 months,339,254,-12.8,-11.5,18.411953,19.124853,-0.06935457343093947,-0.23205452598178591,0.093345379119907,0.00689094320559826,-1.3000000000000007,2.4400000481003015,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 3.1
CREAD 2 2022,3.2,ADCS-ADL score at 18 months,12,15,-6.31,-8.83,7.29,7.57,0.3280886894908053,-0.4368849247052403,1.093062303686851,0.1523339589803079,2.5200000000000005,8.249001666666667,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 3.2
EXPEDITION - EXPEDITION 2 2016,3.2,ADCS-ADL score at 18 months,659,663,-7.13,-8.55,14.632467,14.41932,0.09770045367477606,-0.01017535340074431,0.20557626075029645,0.003029367304292,1.4200000000000008,0.6384999693979831,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 3.2
EXPEDITION 3 2018,3.2,ADCS-ADL score at 18 months,1057,1072,60.2,59,13.52,14.61,0.08520087771527177,2.0490657405015e-4,0.1701968488564934,0.00188061761102882,1.2000000000000028,0.3720489721155339,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 3.2
Marguerite RoAD 2024,3.3,ADCS-ADL score at 24 months,15,28,NA,NA,NA,NA,0.46747,-0.16816983975415406,1.103109839754154,0.10517827334400008,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 3.3
CREAD 2022,3.3,ADCS-ADL score at 24 months,88,90,NA,NA,NA,NA,-0.162711,-0.4570368315943954,0.1316148315943954,0.02255072856100001,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 3.3
GRADUATE I 2023,3.4,ADCS-ADL score above 24 months,499,498,-11.21,-12.32,13.402985,15.39798,0.07684384019854736,-0.04734757707930692,0.20103525747640164,0.00401501326589652,1.1099999999999994,0.8360999899132064,-66.44,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 3.4
GRADUATE II 2023,3.4,ADCS-ADL score above 24 months,498,477,-8.44,-9.26,12.94323,13.541004,0.06189027591099735,-0.06370718408733608,0.1874877359093308,0.00410644046815074,0.8200000000000003,0.7207999833154222,-56.46,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 3.4
EMERGE 2022,3.5,ADCS-ADL-MCI score at 18 months,299,288,NA,NA,NA,NA,0.274858,0.1122691876624798,0.4374468123375202,0.0068815320249999996,NA,NA,-48.74,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 3.5
ENGAGE 2022,3.5,ADCS-ADL-MCI score at 18 months,295,333,NA,NA,NA,NA,0.121525,-0.03532895771875602,0.278378957718756,0.006404640841,NA,NA,-42.24,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 3.5
ENVISION,3.5,ADCS-ADL-MCI score at 18 months,5,3,NA,NA,NA,NA,0.611056,-0.8807294275889868,2.102841427588987,0.5793173546410004,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 3.5
CLARITY AD 2023,3.5,ADCS-ADL-MCI score at 18 months,783,796,NA,NA,NA,NA,0.246614,0.14758681968111376,0.34564118031888624,0.002552775625,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 3.5
TRAILBLAZER-ALZ 2 2023,3.6,ADCS-iADL score at 18 months,591,661,-4.57,-6.32,8.265567,8.484274,0.2086615152924401,0.09740270301361308,0.31992032757126704,0.00322234960401281,1.75,0.22450000435963596,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 3.6
CREAD 2022,3.7,ADCS-ADL 24 months mean difference,NA,NA,NA,NA,NA,NA,-1.88,-5.192339133872691,1.4323391338726918,2.8561000000000014,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 3.7
Marguerite RoAD 2024,3.7,ADCS-ADL 24 months mean difference,NA,NA,NA,NA,NA,NA,3.84,-1.2167070801133404,8.896707080113341,6.656400000000008,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 3.7
CLARITY AD 2023,3.8,ADCS-ADL-MCI 18 months mean difference,NA,NA,NA,NA,NA,NA,2,1.1964147663385778,2.803585233661422,0.1681000000000001,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 3.8
EMERGE 2022,3.8,ADCS-ADL-MCI 18 months mean difference,NA,NA,NA,NA,NA,NA,1.7,0.7004183678845722,2.699581632115428,0.2601000000000002,NA,NA,-48.74,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 3.8
ENGAGE 2022,3.8,ADCS-ADL-MCI 18 months mean difference,NA,NA,NA,NA,NA,NA,0.7,-10.550193271259912,11.950193271259913,32.94760000000003,NA,NA,-42.24,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 3.8
ENVISION,3.8,ADCS-ADL-MCI 18 months mean difference,NA,NA,NA,NA,NA,NA,4.6,-3.214343086973459,12.414343086973458,15.89603344228901,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 3.8
TRAILBLAZER-ALZ 2 2023,4.1,Any ARIA at 18 months,853,874,NA,NA,NA,NA,2.4748489494093246,2.0643954576213117,2.9669108696110937,0.00856052336582278,NA,NA,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 4.1
CLARITY AD 2023,4.1,Any ARIA at 18 months,898,897,NA,NA,NA,NA,2.2680597406000262,1.788092097826977,2.8768624352079777,0.01471764008472584,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.1
EMERGE 2022,4.2,Any ARIA E at 18 months,541,544,NA,NA,NA,NA,14.54173183563202,8.395438070409726,25.18772254717064,0.0785555617296397,NA,NA,-48.74,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 4.2
ENGAGE 2022,4.2,Any ARIA E at 18 months,554,532,NA,NA,NA,NA,11.943592057761732,7.27888447064231,19.59769959498222,0.06384037222839593,NA,NA,-42.24,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 4.2
3000 Non Carriers 2016,4.2,Any ARIA E at 18 months,267,344,NA,NA,NA,NA,8.374531835205993,1.9061840798702407,36.792240686247254,0.5702707818268313,NA,NA,6.52,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3000 Non Carriers 2016 | 4.2
3001 Carriers 2016,4.2,Any ARIA E at 18 months,654,439,NA,NA,NA,NA,8.12962962962963,4.164517402934319,15.869996813648651,0.11647846672193088,NA,NA,-9.6,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3001 Carriers 2016 | 4.2
Bapineuzumab-301 2014,4.2,Any ARIA E at 18 months,329,524,NA,NA,NA,NA,49.37386018237081,6.772524886743063,359.95114231032983,1.0273101538917535,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 4.2
Bapineuzumab-302 2014,4.2,Any ARIA E at 18 months,673,448,NA,NA,NA,NA,68.56463595839523,9.60180290996349,489.606936133741,1.005990710905895,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 4.2
CREAD 2 2022,4.2,Any ARIA E at 18 months,398,388,NA,NA,NA,NA,2.9248120300751883,0.11951309131104863,71.57814526785407,2.6615897069151035,NA,NA,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 4.2
TRAILBLAZER-ALZ 2 2023,4.2,Any ARIA E at 18 months,853,874,NA,NA,NA,NA,11.66927185098346,7.275124533987975,18.717467295025138,0.05811710663376233,NA,NA,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 4.2
CLARITY AD 2023,4.2,Any ARIA E at 18 months,898,897,NA,NA,NA,NA,7.524944320712696,4.426580621513425,12.791992707560029,0.07328781124090446,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.2
EXPEDITION - EXPEDITION 2 2016,4.2,Any ARIA E at 18 months,654,660,NA,NA,NA,NA,2.270642201834862,0.7027499679306088,7.336629304923097,0.3580669076081921,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 4.2
EXPEDITION 3 2018,4.2,Any ARIA E at 18 months,1057,1067,NA,NA,NA,NA,1.009460737937559,0.06322306747084956,16.117708649731046,1.9981167190834717,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 4.2
ENVISION,4.3,Any ARIA E at 24 months,680,344,NA,NA,NA,NA,7.599118942731277,0.435288259576443,132.66291344950963,2.1289663538274937,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 4.3
CREAD 2022,4.3,Any ARIA E at 24 months,399,397,NA,NA,NA,NA,0.9949874686716792,0.06245253801815224,15.852038911948236,1.9949748426481837,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 4.3
Marguerite RoAD 2024,4.3,Any ARIA E at 24 months,192,195,NA,NA,NA,NA,6.09375,1.8246064064892265,20.35167087566579,0.3785523504273507,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 4.3
SCarlet RoAD 2017,4.3,Any ARIA E at 24 months,260,266,NA,NA,NA,NA,17.903846153846153,4.350772528839474,73.67604373150134,0.5209658762290346,NA,NA,-12.64,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 4.3
GRADUATE I 2023,4.4,Any ARIA E above 24 months,497,476,NA,NA,NA,NA,14.246478873239433,7.041110513979182,28.82530530982341,0.12929044857379582,NA,NA,-66.44,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 4.4
