path,category,generated_by,description
"results/audit/tables/independent_filter_sensitivities.csv","published audit result","code/08_traceability.R","PET pairings, calculation inputs and exploratory sensitivities"
"results/audit/tables/invalid_denominators.csv","published audit result","code/08_traceability.R","PET pairings, calculation inputs and exploratory sensitivities"
"results/audit/tables/invalid_event_counts.csv","published audit result","code/08_traceability.R","PET pairings, calculation inputs and exploratory sensitivities"
"results/audit/tables/pet_clinical_pairings.csv","published audit result","code/08_traceability.R","PET pairings, calculation inputs and exploratory sensitivities"
"results/extended/figures/absolute_aria_e_by_antibody.png","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/figures/benefit_harm_matrix.png","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/figures/individual_antibody_efficacy.png","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/absolute_safety_scenarios.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/absolute_safety.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/agent_interactions.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/agent_results.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/annotated_rows.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/benefit_harm.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/extended_results.json","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/leave_one_agent_out.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/mid_compatibility.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/moderator_results.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/percent_slowing.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/quality_control.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/raw_agent_results.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/raw_termination_sensitivities.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/target_class_results.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/termination_sensitivities.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/extended/tables/trial_annotations.csv","published extended result","code/02_extended_reanalysis.R","Versioned extended analysis snapshot"
"results/primary/figures/clearance_meta_regression_1_1.png","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/figures/clearance_meta_regression_2_1.png","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/figures/priority_endpoint_comparison.png","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/figures/raw_mean_difference_comparison.png","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/all_outcome_sensitivity_results.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/amyloid_clearance_mapping.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/analysis_results.json","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/cleaned_analysis_rows.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/cochrane_compatible_class_pool_results.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/cochrane_compatible_reproduction_check.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/continuous_clearance_meta_regression.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/excluded_analysis_rows.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/raw_mean_difference_results.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"results/primary/tables/reproduction_check.csv","published primary result","code/01_primary_reanalysis.R","Versioned primary analysis snapshot"
"run_all.sh","documentation","package authors","Package documentation or citation metadata"
"site/evidence.json","website registry","code/03_build_evidence_registry.mjs","Exact machine-readable evidence registry used by the website"
"site/README.md","documentation","package authors","Package documentation or citation metadata"
"verify.sh","documentation","package authors","Package documentation or citation metadata"
